--------------------------------------------------------------------------------
Process Log at Sun Feb 23 11:10:05 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 2988, 'username': None, 'vms': 2.3359375}
{'name': 'RuntimeBroker.exe', 'pid': 3096, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.30078125}
{'name': 'AvastSvc.exe', 'pid': 3100, 'username': None, 'vms': 183.3359375}
{'name': 'svchost.exe', 'pid': 3120, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.05859375}
{'name': 'usocoreworker.exe', 'pid': 3296, 'username': None, 'vms': 28.7734375}
{'name': 'spoolsv.exe', 'pid': 3356, 'username': None, 'vms': 5.59375}
{'name': 'svchost.exe', 'pid': 3392, 'username': None, 'vms': 10.44921875}
{'name': 'svchost.exe', 'pid': 3436, 'username': None, 'vms': 1.99609375}
{'name': 'svchost.exe', 'pid': 3580, 'username': None, 'vms': 1.68359375}
{'name': 'svchost.exe', 'pid': 3612, 'username': None, 'vms': 2.0703125}
{'name': 'svchost.exe', 'pid': 3620, 'username': None, 'vms': 6.8515625}
{'name': 'svchost.exe', 'pid': 3628, 'username': None, 'vms': 10.49609375}
{'name': 'svchost.exe', 'pid': 3644, 'username': None, 'vms': 1.265625}
{'name': 'svchost.exe', 'pid': 3652, 'username': None, 'vms': 4.77734375}
{'name': 'svchost.exe', 'pid': 3660, 'username': None, 'vms': 1.94921875}
{'name': 'mDNSResponder.exe', 'pid': 3668, 'username': None, 'vms': 1.80859375}
{'name': 'svchost.exe', 'pid': 3676, 'username': None, 'vms': 16.42578125}
{'name': 'AiSquared.Magnification.Service.exe', 'pid': 3684, 'username': None, 'vms': 2.5234375}
{'name': 'ZoomTextHelperService.exe', 'pid': 3692, 'username': None, 'vms': 0.87109375}
{'name': 'armsvc.exe', 'pid': 3700, 'username': None, 'vms': 1.40234375}
{'name': 'Updater.exe', 'pid': 3708, 'username': None, 'vms': 4.83203125}
{'name': 'svchost.exe', 'pid': 3716, 'username': None, 'vms': 35.2578125}
{'name': 'Crypserv.exe', 'pid': 3724, 'username': None, 'vms': 3.31640625}
{'name': 'svchost.exe', 'pid': 3740, 'username': None, 'vms': 1.53125}
{'name': 'nvcontainer.exe', 'pid': 3748, 'username': None, 'vms': 12.91015625}
{'name': 'AppleMobileDeviceService.exe', 'pid': 3756, 'username': None, 'vms': 3.48828125}
{'name': 'svchost.exe', 'pid': 3764, 'username': None, 'vms': 1.59375}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 3780, 'username': None, 'vms': 36.76953125}
{'name': 'AdminService.exe', 'pid': 3788, 'username': None, 'vms': 2.6484375}
{'name': 'RuntimeBroker.exe', 'pid': 3808, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.46484375}
{'name': 'OfficeClickToRun.exe', 'pid': 3836, 'username': None, 'vms': 37.8828125}
{'name': 'SecurityHealthService.exe', 'pid': 3916, 'username': None, 'vms': 4.05078125}
{'name': 'svchost.exe', 'pid': 3972, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.88671875}
{'name': 'chrome.exe', 'pid': 4028, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.3359375}
{'name': 'svchost.exe', 'pid': 4056, 'username': None, 'vms': 2.31640625}
{'name': 'svchost.exe', 'pid': 4072, 'username': None, 'vms': 2.34765625}
{'name': 'svchost.exe', 'pid': 4148, 'username': None, 'vms': 2.94140625}
{'name': 'svchost.exe', 'pid': 4204, 'username': None, 'vms': 10.98828125}
{'name': 'svchost.exe', 'pid': 4236, 'username': None, 'vms': 5.34765625}
{'name': 'dasHost.exe', 'pid': 4320, 'username': None, 'vms': 1.26953125}
{'name': 'svchost.exe', 'pid': 4404, 'username': None, 'vms': 1.3515625}
{'name': 'SearchFilterHost.exe', 'pid': 4416, 'username': None, 'vms': 1.52734375}
{'name': 'svchost.exe', 'pid': 4460, 'username': None, 'vms': 3.56640625}
{'name': 'python.exe', 'pid': 4548, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 33.078125}
