--------------------------------------------------------------------------------
Process Log at Mon Dec 16 09:54:18 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'mDNSResponder.exe', 'username': None, 'pid': 4112, 'vms': 1.93359375}
{'name': 'armsvc.exe', 'username': None, 'pid': 4120, 'vms': 1.68359375}
{'name': 'Crypserv.exe', 'username': None, 'pid': 4140, 'vms': 3.46484375}
{'name': 'AdminService.exe', 'username': None, 'pid': 4160, 'vms': 2.6953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4172, 'vms': 10.75}
{'name': 'svchost.exe', 'username': None, 'pid': 4188, 'vms': 1.6328125}
{'name': 'svchost.exe', 'username': None, 'pid': 4200, 'vms': 14.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4220, 'vms': 2.03515625}
{'name': 'svchost.exe', 'username': None, 'pid': 4228, 'vms': 11.5}
{'name': 'ZoomTextHelperService.exe', 'username': None, 'pid': 4236, 'vms': 0.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4244, 'vms': 1.31640625}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 4256, 'vms': 14.06640625}
{'name': 'Updater.exe', 'username': None, 'pid': 4264, 'vms': 4.265625}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'pid': 4284, 'vms': 38.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4296, 'vms': 5.18359375}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4308, 'vms': 35.80078125}
{'name': 'svchost.exe', 'username': None, 'pid': 4332, 'vms': 1.6640625}
{'name': 'explorer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4356, 'vms': 83.64453125}
{'name': 'XtuService.exe', 'username': None, 'pid': 4392, 'vms': 53.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4440, 'vms': 2.41796875}
{'name': 'Calculator.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4496, 'vms': 20.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 4552, 'vms': 2.39453125}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4588, 'vms': 7.375}
{'name': 'svchost.exe', 'username': None, 'pid': 4636, 'vms': 6.265625}
{'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 4644, 'vms': 21.3046875}
{'name': 'dasHost.exe', 'username': None, 'pid': 4660, 'vms': 1.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 4736, 'vms': 1.67578125}
{'name': 'LMS.exe', 'username': None, 'pid': 4744, 'vms': 3.796875}
{'name': 'svchost.exe', 'username': None, 'pid': 4844, 'vms': 3.80078125}
{'name': 'svchost.exe', 'username': None, 'pid': 5472, 'vms': 1.55859375}
{'name': 'rundll32.exe', 'username': None, 'pid': 5504, 'vms': 1.81640625}
{'name': 'WinStore.App.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 5524, 'vms': 38.4375}
{'name': 'svchost.exe', 'username': None, 'pid': 5592, 'vms': 2.83984375}
{'name': 'svchost.exe', 'username': None, 'pid': 5872, 'vms': 4.140625}
