--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:49:03 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 3152, 'username': None, 'vms': 2.69140625}
{'name': 'chrome.exe', 'pid': 3252, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.86328125}
{'name': 'svchost.exe', 'pid': 3272, 'username': None, 'vms': 2.21484375}
{'name': 'svchost.exe', 'pid': 3380, 'username': None, 'vms': 6.73828125}
{'name': 'svchost.exe', 'pid': 3464, 'username': None, 'vms': 3.25390625}
{'name': 'AvastSvc.exe', 'pid': 3480, 'username': None, 'vms': 209.26953125}
{'name': 'igfxEM.exe', 'pid': 3520, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.921875}
{'name': 'SkypeApp.exe', 'pid': 3724, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 153.9296875}
{'name': 'PresentationFontCache.exe', 'pid': 3736, 'username': None, 'vms': 23.546875}
{'name': 'XtuService.exe', 'pid': 3764, 'username': None, 'vms': 54.7578125}
{'name': 'Updater.exe', 'pid': 3796, 'username': None, 'vms': 5.02734375}
{'name': 'python.exe', 'pid': 3828, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 34.41015625}
{'name': 'Slack.exe', 'pid': 3980, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 109.03515625}
{'name': 'svchost.exe', 'pid': 3992, 'username': None, 'vms': 1.6640625}
{'name': 'svchost.exe', 'pid': 3996, 'username': None, 'vms': 4.296875}
{'name': 'svchost.exe', 'pid': 4016, 'username': None, 'vms': 1.8984375}
{'name': 'chrome.exe', 'pid': 4164, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 99.87109375}
{'name': 'conhost.exe', 'pid': 4176, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.50390625}
{'name': 'svchost.exe', 'pid': 4220, 'username': None, 'vms': 2.19921875}
{'name': 'RuntimeBroker.exe', 'pid': 4268, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.2265625}
{'name': 'svchost.exe', 'pid': 4388, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.56640625}
{'name': 'spoolsv.exe', 'pid': 4412, 'username': None, 'vms': 5.53515625}
{'name': 'Slack.exe', 'pid': 4452, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.4453125}
{'name': 'svchost.exe', 'pid': 4484, 'username': None, 'vms': 11.4609375}
{'name': 'svchost.exe', 'pid': 4524, 'username': None, 'vms': 4.53515625}
{'name': 'svchost.exe', 'pid': 4548, 'username': None, 'vms': 2.0}
