--------------------------------------------------------------------------------
Process Log at Mon Dec 16 09:54:01 2019
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.1953125}
{'pid': 100, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.6015625}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 13.26953125}
{'pid': 460, 'username': None, 'name': 'smss.exe', 'vms': 1.19140625}
{'pid': 652, 'username': None, 'name': 'winlogon.exe', 'vms': 2.72265625}
{'pid': 668, 'username': None, 'name': 'csrss.exe', 'vms': 2.21875}
{'pid': 772, 'username': None, 'name': 'wininit.exe', 'vms': 1.67578125}
{'pid': 780, 'username': None, 'name': 'csrss.exe', 'vms': 2.51953125}
{'pid': 840, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.89453125}
{'pid': 844, 'username': None, 'name': 'services.exe', 'vms': 5.5625}
{'pid': 864, 'username': None, 'name': 'lsass.exe', 'vms': 8.21875}
{'pid': 980, 'username': None, 'name': 'svchost.exe', 'vms': 0.953125}
{'pid': 1004, 'username': None, 'name': 'svchost.exe', 'vms': 12.86328125}
{'pid': 1012, 'username': None, 'name': 'jhi_service.exe', 'vms': 1.5625}
{'pid': 1060, 'username': None, 'name': 'svchost.exe', 'vms': 8.0390625}
{'pid': 1112, 'username': None, 'name': 'svchost.exe', 'vms': 2.58203125}
{'pid': 1168, 'username': None, 'name': 'dwm.exe', 'vms': 39.640625}
{'pid': 1280, 'username': None, 'name': 'svchost.exe', 'vms': 2.02734375}
{'pid': 1312, 'username': None, 'name': 'svchost.exe', 'vms': 2.8828125}
{'pid': 1356, 'username': None, 'name': 'svchost.exe', 'vms': 2.87890625}
{'pid': 1392, 'username': None, 'name': 'svchost.exe', 'vms': 1.53125}
{'pid': 1400, 'username': None, 'name': 'svchost.exe', 'vms': 2.17578125}
