--------------------------------------------------------------------------------
Process Log at Mon Dec 16 00:50:32 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.19921875}
{'name': 'winlogon.exe', 'username': None, 'pid': 8, 'vms': 2.8125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 96, 'vms': 1.6953125}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 10.12109375}
{'name': 'smss.exe', 'username': None, 'pid': 436, 'vms': 1.140625}
{'name': 'csrss.exe', 'username': None, 'pid': 664, 'vms': 2.0703125}
{'name': 'wininit.exe', 'username': None, 'pid': 768, 'vms': 1.41796875}
{'name': 'csrss.exe', 'username': None, 'pid': 776, 'vms': 2.421875}
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 796, 'vms': 1.77734375}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 804, 'vms': 1.80078125}
{'name': 'services.exe', 'username': None, 'pid': 840, 'vms': 5.3515625}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 848, 'vms': 7.93359375}
{'name': 'lsass.exe', 'username': None, 'pid': 852, 'vms': 7.296875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 884, 'vms': 2.48828125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 908, 'vms': 2.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 976, 'vms': 0.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1000, 'vms': 13.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1052, 'vms': 8.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1100, 'vms': 2.62109375}
{'name': 'dwm.exe', 'username': None, 'pid': 1160, 'vms': 50.3359375}
